Kabupaten_Kota,Provinsi,Jenis_Daging,Tahun,Konsumsi_per_Minggu_dalam_Kg,Pengeluaran_per_Minggu_dalam_IDR,Kategori_Konsumsi,Kategori_Pengeluaran
Simeulue,Aceh,Daging sapi,2021,0.002,266.95,Low,Low
Aceh Singkil,Aceh,Daging sapi,2021,0.003,364.28,Low,Low
Aceh Selatan,Aceh,Daging sapi,2021,0.001,117.69,Low,Low
Aceh Tenggara,Aceh,Daging sapi,2021,0.003,442.51,Low,Low
Aceh Timur,Aceh,Daging sapi,2021,0.001,119.32,Low,Low
Aceh Tengah,Aceh,Daging sapi,2021,0.005,774.59,Low,Medium
Aceh Barat,Aceh,Daging sapi,2021,0.003,392.95,Low,Low
Aceh Besar,Aceh,Daging sapi,2021,0.006,803.24,Low,Medium
Pidie,Aceh,Daging sapi,2021,0.004,540.5,Low,Low
Bireuen,Aceh,Daging sapi,2021,0.006,934.15,Low,Medium
Aceh Utara,Aceh,Daging sapi,2021,0.002,272.97,Low,Low
Aceh Barat Daya,Aceh,Daging sapi,2021,0.003,389,Low,Low
Gayo Lues,Aceh,Daging sapi,2021,0.021,2863.33,Medium,High
Aceh Tamiang,Aceh,Daging sapi,2021,0.004,504.82,Low,Low
Nagan Raya,Aceh,Daging sapi,2021,0.004,558.19,Low,Low
Aceh Jaya,Aceh,Daging sapi,2021,0.004,606.07,Low,Low
Bener Meriah,Aceh,Daging sapi,2021,0.002,263.91,Low,Low
Pidie Jaya,Aceh,Daging sapi,2021,0.003,354.86,Low,Low
Kota Banda Aceh,Aceh,Daging sapi,2021,0.02,2873.52,Medium,High
Kota Sabang,Aceh,Daging sapi,2021,0.002,222.1,Low,Low
Kota Langsa,Aceh,Daging sapi,2021,0.006,850.58,Low,Medium
Kota Lhokseumawe,Aceh,Daging sapi,2021,0.009,1232.31,Medium,Medium
Kota Subulussalam,Aceh,Daging sapi,2021,,39.5,Unknown,Low
Nias,Sumatera Utara,Daging sapi,2021,,,Unknown,Unknown
Mandailing Natal,Sumatera Utara,Daging sapi,2021,0.002,321.68,Low,Low
Tapanuli Selatan,Sumatera Utara,Daging sapi,2021,0.002,285.7,Low,Low
Tapanuli Tengah,Sumatera Utara,Daging sapi,2021,0.001,100.09,Low,Low
Tapanuli Utara,Sumatera Utara,Daging sapi,2021,,40.25,Unknown,Low
Toba Samosir,Sumatera Utara,Daging sapi,2021,0.003,401.09,Low,Low
Labuhan Batu,Sumatera Utara,Daging sapi,2021,0.003,365.76,Low,Low
Asahan,Sumatera Utara,Daging sapi,2021,0.002,228.95,Low,Low
Simalungun,Sumatera Utara,Daging sapi,2021,0.004,377.24,Low,Low
Dairi,Sumatera Utara,Daging sapi,2021,0.001,163.16,Low,Low
Karo,Sumatera Utara,Daging sapi,2021,0.004,422.26,Low,Low
Deli Serdang,Sumatera Utara,Daging sapi,2021,0.005,528.04,Low,Low
Langkat,Sumatera Utara,Daging sapi,2021,0.001,165.37,Low,Low
Nias Selatan,Sumatera Utara,Daging sapi,2021,,,Unknown,Unknown
Humbang Hasundutan,Sumatera Utara,Daging sapi,2021,,61.18,Unknown,Low
Pakpak Bharat,Sumatera Utara,Daging sapi,2021,0.001,137.4,Low,Low
Samosir,Sumatera Utara,Daging sapi,2021,0.003,351.65,Low,Low
Serdang Bedagai,Sumatera Utara,Daging sapi,2021,0.003,315.62,Low,Low
Batu Bara,Sumatera Utara,Daging sapi,2021,0.002,273.73,Low,Low
Padang Lawas Utara,Sumatera Utara,Daging sapi,2021,0.003,347.89,Low,Low
Padang Lawas,Sumatera Utara,Daging sapi,2021,0.005,640.27,Low,Medium
Labuhan Batu Selatan,Sumatera Utara,Daging sapi,2021,0.005,555.84,Low,Low
Labuhan Batu Utara,Sumatera Utara,Daging sapi,2021,0.003,331.42,Low,Low
Nias Utara,Sumatera Utara,Daging sapi,2021,,,Unknown,Unknown
Nias Barat,Sumatera Utara,Daging sapi,2021,,,Unknown,Unknown
Kota Sibolga,Sumatera Utara,Daging sapi,2021,,19.7,Unknown,Low
Kota Tanjung Balai,Sumatera Utara,Daging sapi,2021,0.002,224.63,Low,Low
