Kabupaten_Kota,Provinsi,Jenis_Daging,Tahun,Konsumsi_per_Minggu_dalam_Kg,Pengeluaran_per_Minggu_dalam_IDR
Simeulue,Aceh,Daging sapi,2021,0.002,266.95
Aceh Singkil,Aceh,Daging sapi,2021,0.003,364.28
Aceh Selatan,Aceh,Daging sapi,2021,0.001,117.69
Aceh Tenggara,Aceh,Daging sapi,2021,0.003,442.51
Aceh Timur,Aceh,Daging sapi,2021,0.001,119.32
Aceh Tengah,Aceh,Daging sapi,2021,0.005,774.59
Aceh Barat,Aceh,Daging sapi,2021,0.003,392.95
Aceh Besar,Aceh,Daging sapi,2021,0.006,803.24
Pidie,Aceh,Daging sapi,2021,0.004,540.5
Bireuen,Aceh,Daging sapi,2021,0.006,934.15
Aceh Utara,Aceh,Daging sapi,2021,0.002,272.97
Aceh Barat Daya,Aceh,Daging sapi,2021,0.003,389
Gayo Lues,Aceh,Daging sapi,2021,0.021,2863.33
Aceh Tamiang,Aceh,Daging sapi,2021,0.004,504.82
Nagan Raya,Aceh,Daging sapi,2021,0.004,558.19
Aceh Jaya,Aceh,Daging sapi,2021,0.004,606.07
Bener Meriah,Aceh,Daging sapi,2021,0.002,263.91
Pidie Jaya,Aceh,Daging sapi,2021,0.003,354.86
Kota Banda Aceh,Aceh,Daging sapi,2021,0.02,2873.52
Kota Sabang,Aceh,Daging sapi,2021,0.002,222.1
Kota Langsa,Aceh,Daging sapi,2021,0.006,850.58
Kota Lhokseumawe,Aceh,Daging sapi,2021,0.009,1232.31
Kota Subulussalam,Aceh,Daging sapi,2021,,39.5
Nias,Sumatera Utara,Daging sapi,2021,,
Mandailing Natal,Sumatera Utara,Daging sapi,2021,0.002,321.68
Tapanuli Selatan,Sumatera Utara,Daging sapi,2021,0.002,285.7
Tapanuli Tengah,Sumatera Utara,Daging sapi,2021,0.001,100.09
Tapanuli Utara,Sumatera Utara,Daging sapi,2021,,40.25
Toba Samosir,Sumatera Utara,Daging sapi,2021,0.003,401.09
Labuhan Batu,Sumatera Utara,Daging sapi,2021,0.003,365.76
Asahan,Sumatera Utara,Daging sapi,2021,0.002,228.95
Simalungun,Sumatera Utara,Daging sapi,2021,0.004,377.24
Dairi,Sumatera Utara,Daging sapi,2021,0.001,163.16
Karo,Sumatera Utara,Daging sapi,2021,0.004,422.26
Deli Serdang,Sumatera Utara,Daging sapi,2021,0.005,528.04
Langkat,Sumatera Utara,Daging sapi,2021,0.001,165.37
Nias Selatan,Sumatera Utara,Daging sapi,2021,,
Humbang Hasundutan,Sumatera Utara,Daging sapi,2021,,61.18
Pakpak Bharat,Sumatera Utara,Daging sapi,2021,0.001,137.4
Samosir,Sumatera Utara,Daging sapi,2021,0.003,351.65
Serdang Bedagai,Sumatera Utara,Daging sapi,2021,0.003,315.62
Batu Bara,Sumatera Utara,Daging sapi,2021,0.002,273.73
Padang Lawas Utara,Sumatera Utara,Daging sapi,2021,0.003,347.89
Padang Lawas,Sumatera Utara,Daging sapi,2021,0.005,640.27
Labuhan Batu Selatan,Sumatera Utara,Daging sapi,2021,0.005,555.84
Labuhan Batu Utara,Sumatera Utara,Daging sapi,2021,0.003,331.42
Nias Utara,Sumatera Utara,Daging sapi,2021,,
Nias Barat,Sumatera Utara,Daging sapi,2021,,
Kota Sibolga,Sumatera Utara,Daging sapi,2021,,19.7
Kota Tanjung Balai,Sumatera Utara,Daging sapi,2021,0.002,224.63
Kota Pematang Siantar,Sumatera Utara,Daging sapi,2021,0.005,594.83
Kota Tebing Tinggi,Sumatera Utara,Daging sapi,2021,0.006,697.44
Kota Medan,Sumatera Utara,Daging sapi,2021,0.01,1194.37
Kota Binjai,Sumatera Utara,Daging sapi,2021,0.007,804.12
Kota Padangsidimpuan,Sumatera Utara,Daging sapi,2021,0.005,633.03
Kota Gunungsitoli,Sumatera Utara,Daging sapi,2021,,57.72
Kepulauan Mentawai,Sumatera Barat,Daging sapi,2021,0.001,112.05
Pesisir Selatan,Sumatera Barat,Daging sapi,2021,,10.14
Solok,Sumatera Barat,Daging sapi,2021,0.01,1182.76
Sijunjung,Sumatera Barat,Daging sapi,2021,0.005,608.97
Tanah Datar,Sumatera Barat,Daging sapi,2021,0.014,1677.03
Padang Pariaman,Sumatera Barat,Daging sapi,2021,0.008,1006.68
